,BOW_test_scores
0,0.9375
1,0.921875
2,0.9375
3,0.90625
4,0.8875
5,0.890625
6,0.8794642857142857
7,0.87109375
8,0.8680555555555556
9,0.86875
10,0.8664772727272727
11,0.8671875
12,0.8653846153846154
13,0.859375
14,0.8625
15,0.859375
16,0.8547794117647058
17,0.8559027777777778
18,0.8552631578947368
19,0.859375
20,0.8586309523809523
21,0.8579545454545454
22,0.8573369565217391
23,0.8541666666666666
24,0.855
25,0.8557692307692307
26,0.8541666666666666
27,0.8571428571428571
28,0.8609913793103449
29,0.8604166666666667
30,0.8608870967741935
31,0.861328125
32,0.8626893939393939
33,0.8612132352941176
34,0.8607142857142858
35,0.8585069444444444
36,0.8572635135135135
37,0.8577302631578947
38,0.8581730769230769
39,0.85703125
40,0.8589939024390244
41,0.8586309523809523
42,0.8582848837209303
43,0.859375
44,0.8576388888888888
45,0.8573369565217391
46,0.8563829787234043
47,0.85546875
48,0.8526785714285714
49,0.85125
50,0.8535539215686274
51,0.8515625
52,0.8537735849056604
53,0.8553240740740741
54,0.8568181818181818
55,0.8577008928571429
56,0.8580043859649122
57,0.8566810344827587
58,0.8580508474576272
59,0.8578125
60,0.8596311475409836
61,0.8578629032258065
62,0.8576388888888888
63,0.857421875
64,0.8576923076923076
65,0.8570075757575758
66,0.8572761194029851
67,0.8552389705882353
68,0.855072463768116
69,0.8540178571428572
70,0.8534330985915493
71,0.8532986111111112
72,0.8527397260273972
73,0.8526182432432432
74,0.8533333333333334
75,0.852796052631579
76,0.8518668831168831
77,0.8529647435897436
78,0.8524525316455697
79,0.851953125
80,0.8522376543209876
81,0.8513719512195121
82,0.8512801204819277
83,0.8511904761904762
84,0.8518382352941176
85,0.8521075581395349
86,0.850933908045977
87,0.8508522727272727
88,0.8500702247191011
89,0.8493055555555555
90,0.8506181318681318
91,0.8512228260869565
92,0.8514784946236559
93,0.8507313829787234
94,0.8506578947368421
95,0.8502604166666666
96,0.8498711340206185
97,0.8507653061224489
98,0.8513257575757576
99,0.850625
100,0.8502475247524752
101,0.8511029411764706
102,0.8513349514563107
103,0.8509615384615384
104,0.8511904761904762
105,0.8508254716981132
106,0.8501752336448598
107,0.8489583333333334
108,0.8494839449541285
109,0.8494318181818182
110,0.8505067567567568
111,0.8515625
112,0.8498340707964602
113,0.8495065789473685
114,0.8494565217391304
115,0.8494073275862069
116,0.8482905982905983
117,0.847457627118644
118,0.845063025210084
119,0.8442708333333333
120,0.8447830578512396
121,0.8455430327868853
122,0.8455284552845529
123,0.8455141129032258
124,0.84525
125,0.8462301587301587
126,0.8459645669291339
127,0.845703125
128,0.845203488372093
129,0.8447115384615385
130,0.8449427480916031
131,0.8456439393939394
132,0.8458646616541353
133,0.8451492537313433
134,0.8444444444444444
135,0.8446691176470589
136,0.8453467153284672
137,0.8457880434782609
138,0.845998201438849
139,0.8448660714285714
140,0.8450797872340425
141,0.8450704225352113
142,0.8452797202797203
143,0.8452690972222222
144,0.8448275862068966
145,0.8446061643835616
146,0.8443877551020408
147,0.8441722972972973
148,0.8439597315436241
149,0.8439583333333334
150,0.8439569536423841
151,0.8441611842105263
152,0.8445669934640523
153,0.8445616883116883
154,0.8439516129032258
155,0.84375
156,0.8439490445859873
157,0.8441455696202531
158,0.84375
159,0.84375
160,0.843944099378882
161,0.8443287037037037
162,0.8447085889570553
163,0.844702743902439
164,0.8446969696969697
165,0.8450677710843374
166,0.8450598802395209
167,0.8454241071428571
168,0.8452292899408284
169,0.8450367647058824
170,0.8450292397660819
171,0.8457485465116279
172,0.8450144508670521
173,0.8453663793103449
174,0.8453571428571428
175,0.8453480113636364
176,0.845162429378531
177,0.844627808988764
178,0.8453212290502793
179,0.8454861111111112
180,0.84478591160221
181,0.8452953296703297
182,0.8454576502732241
183,0.845108695652174
184,0.8447635135135135
185,0.8449260752688172
186,0.8444184491978609
187,0.8445811170212766
188,0.8445767195767195
189,0.8444078947368421
190,0.8447316753926701
191,0.8450520833333334
192,0.8450453367875648
193,0.8447164948453608
194,0.8443910256410256
195,0.8439094387755102
196,0.8443845177664975
197,0.8446969696969697
198,0.8446922110552764
199,0.84453125
200,0.8448383084577115
201,0.8448329207920792
202,0.8448275862068966
203,0.8448223039215687
204,0.8446646341463414
205,0.8440533980582524
206,0.8445048309178744
207,0.8448016826923077
208,0.8450956937799043
209,0.8452380952380952
210,0.8444905213270142
211,0.8438974056603774
212,0.8431631455399061
213,0.842873831775701
214,0.8430232558139535
215,0.8433159722222222
216,0.8428859447004609
217,0.8430332568807339
218,0.8430365296803652
219,0.8431818181818181
220,0.8429015837104072
221,0.8431869369369369
222,0.8430493273542601
223,0.8430524553571429
224,0.8426388888888889
225,0.8425055309734514
226,0.8430616740088106
227,0.8427905701754386
228,0.8423853711790393
229,0.8425271739130434
230,0.841991341991342
231,0.8419989224137931
232,0.8420064377682404
233,0.8420138888888888
234,0.8417553191489362
235,0.841896186440678
236,0.8419040084388185
237,0.8417804621848739
238,0.8419194560669456
239,0.841796875
240,0.841545643153527
241,0.8414256198347108
242,0.8414351851851852
243,0.8408043032786885
244,0.8405612244897959
245,0.8405741869918699
246,0.84084008097166
247,0.8407258064516129
248,0.8408634538152611
249,0.840875
250,0.8405129482071713
251,0.8402777777777778
252,0.8402915019762845
253,0.8406742125984252
254,0.8408088235294118
255,0.840576171875
256,0.8408317120622568
257,0.8406007751937985
258,0.840854247104247
259,0.8405048076923077
260,0.8402777777777778
261,0.8405295801526718
262,0.8406606463878327
263,0.8407907196969697
264,0.8408018867924528
265,0.840578007518797
266,0.8404728464419475
267,0.8403684701492538
268,0.8406133828996283
269,0.8408564814814815
270,0.8410977859778598
271,0.8411075367647058
272,0.8410027472527473
273,0.8407846715328468
274,0.8409090909090909
275,0.8408061594202898
276,0.8407039711191335
277,0.8402652877697842
278,0.840165770609319
279,0.8404017857142857
280,0.8407473309608541
281,0.8406471631205674
282,0.8408789752650176
283,0.8407790492957746
284,0.8408991228070175
285,0.840472027972028
286,0.8403745644599303
287,0.8404947916666666
288,0.840614186851211
289,0.8404094827586207
290,0.8404209621993127
291,0.8402183219178082
292,0.840443686006826
293,0.8404549319727891
294,0.8406779661016949
295,0.8406883445945946
296,0.8411195286195287
297,0.8410234899328859
298,0.8409280936454849
299,0.8408333333333333
300,0.8409468438538206
301,0.8403352649006622
302,0.840552805280528
303,0.8407689144736842
304,0.840983606557377
305,0.840890522875817
306,0.8405944625407166
307,0.8401988636363636
308,0.8402103559870551
309,0.8403225806451613
310,0.8401326366559485
311,0.8399439102564102
312,0.8399
